Date,Name,Type
2033-06-10,Milad-un-Nabi (estimated),National/Observed
2033-08-15,Independence Day,National/Observed
2033-08-17,Janmashtami (Vaishnava),National/Observed
2033-10-02,Mahatma Gandhi's Jayanti,National/Observed
2033-10-03,Dussehra,National/Observed
2033-10-22,Diwali (Deepavali),National/Observed
2033-11-06,Guru Nanak's Jayanti,National/Observed
2033-12-24,Id-ul-Fitr (estimated),National/Observed
2033-12-25,Christmas,National/Observed
2034-01-26,Republic Day,National/Observed
2034-02-17,Maha Shivaratri,National/Observed
2034-03-02,Id-ul-Zuha (Bakrid) (estimated),National/Observed
2034-03-05,Holi,National/Observed
2034-03-28,Ram Navami,National/Observed
2034-03-31,Muharram (estimated),National/Observed
2034-04-01,Mahavir Jayanti,National/Observed
2034-04-07,Good Friday,National/Observed
2034-04-14,Dr. B. R. Ambedkar's Jayanti,National/Observed
2034-05-03,Buddha Purnima,National/Observed
2034-05-31,Milad-un-Nabi (estimated),National/Observed
2034-08-15,Independence Day,National/Observed
2034-09-06,Janmashtami (Vaishnava),National/Observed
2034-10-02,Mahatma Gandhi's Jayanti,National/Observed
2034-10-22,Dussehra,National/Observed
2034-11-10,Diwali (Deepavali),National/Observed
2034-11-25,Guru Nanak's Jayanti,National/Observed
2034-12-13,Id-ul-Fitr (estimated),National/Observed
2034-12-25,Christmas,National/Observed
2035-01-26,Republic Day,National/Observed
2035-02-19,Id-ul-Zuha (Bakrid) (estimated),National/Observed
2035-03-08,Maha Shivaratri,National/Observed
2035-03-21,Muharram (estimated),National/Observed
2035-03-23,Good Friday,National/Observed
2035-03-24,Holi,National/Observed
2035-04-14,Dr. B. R. Ambedkar's Jayanti,National/Observed
2035-04-16,Ram Navami,National/Observed
2035-04-20,Mahavir Jayanti,National/Observed
2035-05-21,Milad-un-Nabi (estimated),National/Observed
2035-05-22,Buddha Purnima,National/Observed
2035-08-15,Independence Day,National/Observed
2035-08-26,Janmashtami (Vaishnava),National/Observed
2035-10-02,Mahatma Gandhi's Jayanti,National/Observed
2035-10-11,Dussehra,National/Observed
2035-10-30,Diwali (Deepavali),National/Observed
2035-11-15,Guru Nanak's Jayanti,National/Observed
2035-12-02,Id-ul-Fitr (estimated),National/Observed
2035-12-25,Christmas,National/Observed
